input_name,search_name,matched_uri,match_count
"Thalassarche salvini","Thalassarche salvini","http://biodiversity.org.au/afd.taxon/59683019-c7b6-45c4-afd9-cf93947fb7ac",1
"Thalassarche steadi","Thalassarche steadi","http://biodiversity.org.au/afd.taxon/80cbab65-bdf7-4fd4-8666-f7579de78e4c",1
"Thalasseus bergii","Thalasseus bergii","http://biodiversity.org.au/afd.taxon/1441c509-faf3-405e-a534-c51cccc4d720",1
"Tringa brevipes","Tringa brevipes","https://test.biodiversity.org.au/afd/taxa/Tringa_%28Heteroscelus%29_brevipes",1
"Tringa glareola","Tringa glareola","https://test.biodiversity.org.au/afd/taxa/Tringa_%28Rhyacophilus%29_glareola",1
"Tringa incana","Tringa incana","https://test.biodiversity.org.au/afd/taxa/Tringa_%28Heteroscelus%29_incana",1
"Tringa nebularia","Tringa nebularia","https://test.biodiversity.org.au/afd/taxa/Tringa_%28Glottis%29_nebularia",1
"Tringa stagnatilis","Tringa stagnatilis","https://test.biodiversity.org.au/afd/taxa/Tringa_%28Rhyacophilus%29_stagnatilis",1
"Tringa totanus","Tringa totanus","https://test.biodiversity.org.au/afd/taxa/Tringa_%28Totanus%29_totanus",1
"Tursiops aduncus (Arafura/Timor Sea populations)","Tursiops aduncus","https://test.biodiversity.org.au/afd/taxa/Tursiops_aduncus",1
"Xenus cinereus","Xenus cinereus","http://biodiversity.org.au/afd.taxon/4090ad27-9c69-454d-aa47-23860b9ee50b",1
